customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
05N0-AN9XZ,Male,0,Yes,No,27,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),114.14,3077.96,Yes
068Y-E1LYK,Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.61,18.8,No
06A4-IVPBF,Female,0,No,Yes,61,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),56.48,3519.28,No
06IO-YUXSR,Female,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,25.8,74.13,No
06KT-XSWTB,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,97.95,1405.73,Yes
06OT-8NCFC,Male,0,Yes,No,41,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,49.07,1896.78,No
06PK-4NQ9O,Male,1,Yes,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),26.45,1830.98,No
06R4-P8LNB,Male,0,Yes,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.33,1274.39,Yes
06RC-5A963,Male,1,Yes,No,56,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),85.49,4762.54,Yes
06ZF-QH36R,Male,0,No,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,1073.96,No
071F-WRPU0,Male,1,No,No,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.14,806.46,Yes
0747-3SHOZ,Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,91.87,245.17,Yes
0772-Z2QUN,Male,0,Yes,No,57,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),41.28,2424.7,No
0787-LF43N,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),67.68,476.49,Yes
07QK-HRIY1,Female,0,No,No,44,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),88.36,3973.91,No
08A2-SDQ70,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),85.82,493.34,Yes
08L0-5JKWK,Female,0,No,No,32,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),67.55,2177.93,Yes
08PX-ZP3Q9,Female,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.29,65.04,Yes
08XX-AZ71B,Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.13,171.32,No
08YL-92RDE,Male,0,No,Yes,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,94.97,3459.25,Yes
091H-GZ8NZ,Female,0,No,No,60,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),100.43,6067.56,Yes
097B-S547B,Male,0,Yes,Yes,3,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,45.36,167.35,No
09FV-6UT59,Male,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.43, ,Yes
09MI-CZCOE,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),70.71,1704.97,No
09N6-R3M2Q,Female,0,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,73.39,577.28,Yes
09UI-PRKK8,Female,0,No,No,40,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),67.82,2808.61,No
0A6K-MWD8X,Female,0,No,Yes,57,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,71.6,4101.68,No
0APO-OO2XA,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,47.45,693.95,Yes
0ARV-8FTPW,Male,0,No,No,23,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,53.56,1207.25,Yes
0AXI-YI0VR,Female,0,No,No,1,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),37.74,85.32,Yes
0BCY-2N2SG,Male,0,No,No,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),66.11,2858.69,Yes
0BEZ-T50JJ,Male,0,No,No,51,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),92.84,4741.9,Yes
0BGE-XVR04,Female,0,Yes,No,1,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),56.81,90.62,No
0BLY-IAT66,Male,0,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,88.21,3357.48,No
0C28-2XRXO,Female,0,No,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,1179.96,No
0C65-1C7RI,Female,0,No,No,8,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),50.14,389.62,Yes
0CU9-PHCNL,Female,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,66.23,3527.65,No
0D4M-RGGG7,Female,0,Yes,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,23.92,1060.52,No
0D6N-ZS8I0,Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,28.04,1120.5,No
0DE8-VHDPN,Male,1,Yes,Yes,58,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,91.0,5289.44,Yes
0DJR-4H754,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,88.05,100.72,Yes
0DNM-UZ1U0,Male,0,No,No,1,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,86.39,100.19,Yes
0DPN-ZZ809,Male,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.22,820.01,Yes
0E0Z-8T494,Male,0,No,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.26,1510.92,Yes
0EBB-BXFT8,Female,1,No,Yes,4,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),76.58,210.91,No
0EEP-GJGFP,Male,0,No,No,43,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,3203.27,Yes
0EGM-CXNZD,Male,0,No,No,25,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),82.33,1941.17,Yes
0EQ2-A9EZB,Male,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),77.53,2572.69,No
0ERO-36JBB,Male,0,No,No,48,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,40.99,1991.48,Yes
0EVA-GWYNO,Female,0,No,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),58.03,1132.98,No
0F14-7SE1Q,Female,0,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),94.43,117.26,Yes
0FHQ-2H6GZ,Female,1,Yes,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,1054.85,No
0FKR-73LW8,Female,1,No,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.3,41.11,Yes
0GHM-55ROT,Male,0,No,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,76.97,1430.14,Yes
0GLB-24XTX,Female,1,No,Yes,42,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,68.11,2929.01,Yes
0GOS-EVO19,Male,0,No,Yes,62,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),61.19,3818.34,Yes
0GQB-XRNTV,Male,0,No,Yes,51,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,83.82,4219.2,Yes
0H2Z-N8S0J,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.08,24.48,Yes
0H4X-IIZSB,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),27.15,182.19,Yes
0HED-X8T6M,Male,0,No,Yes,1,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,40.51,18.8,Yes
0HFV-00K6P,Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.71,129.82,Yes
0HSC-8M0MG,Male,0,No,No,48,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),54.85,2642.41,No
0HYW-8HVXB,Male,0,No,No,9,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,98.72,937.93,Yes
0IBG-INXK8,Female,0,No,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),23.38,1310.66,No
0IC1-SJ0OW,Male,0,Yes,Yes,5,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,94.15,500.85,Yes
0IE7-2VTO0,Male,0,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.23,1120.71,No
0IE9-LO1HX,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.25,103.78,Yes
0IGC-NR9II,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),77.28,1082.14,Yes
0INE-MBM8A,Male,0,No,Yes,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.37,259.79,Yes
0IPS-NSNSF,Male,0,Yes,No,65,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.04,2958.68,No
0J5W-6SK1P,Male,0,No,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.31,447.39,No
0JKK-07CQN,Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,76.15,4646.48,No
0JPQ-9IV3D,Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),76.29,500.98,No
0JXW-WEKLU,Female,1,Yes,Yes,48,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Mailed check,59.67,2816.4,No
0K2X-429RW,Male,0,No,Yes,43,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,54.33,2372.16,No
0K6W-3NS69,Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),61.87,3535.97,Yes
0K9Q-IYH5X,Female,0,Yes,No,43,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,49.74,2061.82,Yes
0K9T-HUKGY,Female,0,No,No,43,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),56.3,2440.71,No
0KCD-IJ03S,Male,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.98,1073.08,Yes
0L1K-EAWPK,Male,0,No,No,72,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,35.78,2630.31,No
0L8I-R6PAB,Male,0,No,No,27,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,103.17,2776.61,No
0LFH-QT2XD,Female,1,No,No,3,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),98.27,221.8,Yes
0LGP-TNR9Z,Male,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),88.77,331.65,Yes
0LW9-UXMMJ,Male,0,Yes,Yes,6,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,93.72,571.48,No
0LXO-GFB5L,Male,0,No,No,25,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),73.9,1746.2,No
0LZ1-ENFNP,Female,1,No,Yes,4,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,46.03,216.07,Yes
0M0U-Z5IC2,Male,1,No,No,55,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,88.33,4818.45,Yes
0MDN-5TFFS,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.0,638.24,Yes
0MVI-0A6FD,Female,0,No,No,65,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,60.01,3993.6,No
0MWR-2ERZA,Female,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.83,699.24,Yes
0N3A-T9SG8,Male,0,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,63.03,875.51,Yes
0N5O-ZOFT7,Female,0,Yes,Yes,6,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),34.35,255.69,Yes
0NAB-LYVZE,Female,0,No,No,40,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.29,2039.14,Yes
0NBG-KMYK6,Female,1,No,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.07,833.91,Yes
0NFV-P53DX,Male,0,Yes,No,56,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,36.78,2216.46,No
0NHY-AH2XU,Male,0,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.88,1720.69,No
0NVQ-M3QRH,Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.77,18.8,Yes
0O0Z-OGNZ5,Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.03,1348.54,Yes
0O25-LXQ16,Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.81,3918.27,Yes
0O39-HRHZI,Male,0,Yes,Yes,29,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,65.38,1919.46,No
0O70-6XS9L,Male,0,Yes,No,55,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.77,2463.7,No
0ON5-JHHMU,Female,0,Yes,Yes,24,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),93.93,2272.61,Yes
0OY4-AIXOR,Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),118.75,110.0,Yes
0OZK-EH7EX,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,83.32,99.26,Yes
0P4S-0X9W0,Female,0,No,No,24,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,51.16,1324.42,Yes
0P5N-QUPAQ,Male,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.92,701.59,No
0P71-U4A35,Female,1,Yes,Yes,46,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,32.63,1509.99,Yes
0PCP-D0YR1,Male,1,Yes,No,48,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),32.35,1621.25,No
0PGY-LE3KZ,Female,0,No,No,6,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,95.41,620.0,Yes
0PID-VNL5I,Male,0,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.15,1136.99,No
0PKF-032UB,Female,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.19,18.8,Yes
0PSA-GX7JA,Male,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.56,981.65,No
0RBD-F2HD8,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,241.31,Yes
0REE-MKMYN,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.39,1731.31,Yes
0S2H-FG2R9,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.31,338.74,No
0S2W-DAZPJ,Female,0,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),88.9,18.8,No
0SE1-72ZUX,Male,0,No,No,40,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),48.46,2002.46,Yes
0SEZ-1BE2F,Male,0,Yes,No,38,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,56.64,2170.12,No
0SG7-FOQA6,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,64.31,No
0SHE-X51QX,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,94.59,33.25,Yes
0SPT-4VJVP,Male,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,27.99,1019.98,Yes
0SSJ-IQGES,Male,0,Yes,No,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,56.06,733.82,No
0SWN-P3KL5,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,84.59,306.61,No
0T4T-50VFF,Female,0,No,No,21,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,54.81,1153.57,Yes
0T4T-VD6P2,Male,1,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.42,1321.69,Yes
0TA2-BU9JT,Female,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),21.5,635.5,Yes
0TG6-IXTVE,Male,1,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,87.31,2323.68,Yes
0TIE-7EM5Y,Female,0,Yes,No,52,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,105.44,5511.66,No
0TR9-BRS2C,Male,0,No,Yes,59,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.89,3009.2,No
0TXH-9MVL0,Female,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.54,482.38,No
0U9O-OPVV0,Female,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),58.74,955.47,Yes
0UQC-VWYW9,Female,0,No,Yes,3,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Mailed check,35.79,112.5,Yes
0UQI-BU1GS,Male,1,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.03,1174.86,No
0URS-5VLEO,Female,0,Yes,No,35,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,83.33,2891.53,No
0UWS-QDQKT,Male,0,Yes,No,65,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,41.9,2777.67,Yes
0UZI-TCXKS,Male,0,Yes,Yes,46,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),62.65,2874.32,No
0V2J-C1GX6,Female,0,No,Yes,17,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,84.32,1507.65,Yes
